"short_form","full_form"
"t05fx","Butterfly-Tenergy-05-FX"
"t05FX","Butterfly-Tenergy-05-FX"
"t05-fx","Butterfly-Tenergy-05-FX"
"Tenergy 05FX","Butterfly-Tenergy-05-FX"
"Tenergy 05 FX","Butterfly-Tenergy-05-FX"
"Tenergy05 FX","Butterfly-Tenergy-05-FX"
"t 05-fx","Butterfly-Tenergy-05-FX"
"t 05 fx","Butterfly-Tenergy-05-FX"
"t05","Butterfly-Tenergy-05"
"05","Butterfly-Tenergy-05"
"t-05","Butterfly-Tenergy-05"
"t 05","Butterfly-Tenergy-05"
"Tenergy 05","Butterfly-Tenergy-05"
"Tenergy05","Butterfly-Tenergy-05"
"t64","Butterfly-Tenergy-64"
"64","Butterfly-Tenergy-64"
"t-64","Butterfly-Tenergy-64"
"Tenergy 64","Butterfly-Tenergy-64"
"Tenergy64","Butterfly-Tenergy-64"
"t25","Butterfly-Tenergy-25"
"25","Butterfly-Tenergy-25"
"t-25","Butterfly-Tenergy-25"
"Tenergy 25","Butterfly-Tenergy-25"
"Tenergy25","Butterfly-Tenergy-25"
"h3","DHS-Hurricane-3"
"hurricane 3","DHS-Hurricane-3"
"hurricane3","DHS-Hurricane-3"
"h8","DHS-Hurricane-8"
"hurricane 8","DHS-Hurricane-8"
"hurricane8","DHS-Hurricane-8"
"MX-P","Tibhar-Evolution-MX-P"
"MXP","Tibhar-Evolution-MX-P"
"mxp","Tibhar-Evolution-MX-P"
"EL-P","Tibhar-Evolution-EL-P"
"elp","Tibhar-Evolution-EL-P"
"ELP","Tibhar-Evolution-EL-P"
"EL-S","Tibhar-Evolution-EL-S"
"els","Tibhar-Evolution-EL-S"
"ELS","Tibhar-Evolution-EL-S"
"FX-P","Tibhar-Evolution-FX-P"
"fxp","Tibhar-Evolution-FX-P"
"FXP","Tibhar-Evolution-FX-P"
400,"Joola-Maxxx-400"
"ak47","Palio-AK47"
"gearz","Gambler-X3-Diamond-Gearz"
"mech-tech","Gambler-Mech-Tek-Predator"
"mech-tek","Gambler-Mech-Tek-Predator"
"sevens","Gambler-Sevens-Pro"
"STN","Sanwei-National-Target"
"Red Dragon","Three-Sword-Red-Dragon"
"Green Dragon","KTL-Pro-XT-Green-Dragon"
"999T","Super-999T"
"m2","Donic-Bluefire-M2"
"R7","Rakza-7"
"r7soft","Rakza-7-Soft"
"s2","Donic-Acuda-S2"
"HD","Andro-Hexer-HD"
"ESN rubbers","ESN-rubbers"
"Japan rubbers","Japan-rubbers"
"Chinese rubbers","Chinese-rubbers"
"Tensor rubbers","Tensor-rubbers"
