thread_title,URL,author,num_reply
Warning! Weird rubber! Tibhar Grip-S (max with orange sponge),showthread.php?4577-Warning!-Weird-rubber!-Tibhar-Grip-S-(max-with-orange-sponge)&s=3c84fc5a7a3d606bd5e661f368ed3358,Totoh,8
Tibhar MX-K H and MX-K M,showthread.php?22184-Tibhar-MX-K-H-and-MX-K-M&s=3c84fc5a7a3d606bd5e661f368ed3358,yogi_bear,31
Tibhar Hybrid K1 European Version,showthread.php?19766-Tibhar-Hybrid-K1-European-Version&s=3c84fc5a7a3d606bd5e661f368ed3358,amoc,10
Tibhar Evo EL-P vs FX-P for flicks and brushing loops,showthread.php?19756-Tibhar-Evo-EL-P-vs-FX-P-for-flicks-and-brushing-loops&s=3c84fc5a7a3d606bd5e661f368ed3358,tutas_piotr,8
"EL-P vs EL-S, Any Experiences, Please share",showthread.php?18559-EL-P-vs-EL-S-Any-Experiences-Please-share&s=3c84fc5a7a3d606bd5e661f368ed3358,KillerNoSpin,6
Tibhar Aurus Prime and Aurus Select,showthread.php?15478-Tibhar-Aurus-Prime-and-Aurus-Select&s=3c84fc5a7a3d606bd5e661f368ed3358,tt89player,18
Which member of Tibhar Evolution has the highest throw angle,showthread.php?15064-Which-member-of-Tibhar-Evolution-has-the-highest-throw-angle&s=3c84fc5a7a3d606bd5e661f368ed3358,Zaid323918,12
Sardius blade equivalent of Tibhar?,showthread.php?15053-Sardius-blade-equivalent-of-Tibhar&s=3c84fc5a7a3d606bd5e661f368ed3358,DJeX,0
Carbon blade,showthread.php?14939-Carbon-blade&s=3c84fc5a7a3d606bd5e661f368ed3358,PieterTerAar,3
FX-P vs FX-S,showthread.php?14290-FX-P-vs-FX-S&s=3c84fc5a7a3d606bd5e661f368ed3358,romanzdk,1
Tibhar Evolution MX-S Review,showthread.php?10274-Tibhar-Evolution-MX-S-Review&s=3c84fc5a7a3d606bd5e661f368ed3358,AndySmith,18
Has anyone tried out the Tibhar Nimbus Delta S and Delta V rubbers?,showthread.php?13825-Has-anyone-tried-out-the-Tibhar-Nimbus-Delta-S-and-Delta-V-rubbers&s=3c84fc5a7a3d606bd5e661f368ed3358,ronz91,18
What is the currently best Tibhar rubber option?,showthread.php?13710-What-is-the-currently-best-Tibhar-rubber-option&s=3c84fc5a7a3d606bd5e661f368ed3358,GustavoBrze,26
Paul Drinkhall Reviews.... TIBHAR Evolution FX-P,showthread.php?10517-Paul-Drinkhall-Reviews-TIBHAR-Evolution-FX-P&s=3c84fc5a7a3d606bd5e661f368ed3358,Paul Drinkhall,16
Wear on MX-P,showthread.php?16815-Wear-on-MX-P&s=3c84fc5a7a3d606bd5e661f368ed3358,Zaid323918,20
Tibhar Evolution EL-S and FX-S,showthread.php?12222-Tibhar-Evolution-EL-S-and-FX-S&s=3c84fc5a7a3d606bd5e661f368ed3358,tt89player,267
Aurus Pro Romanian National Team,showthread.php?14475-Aurus-Pro-Romanian-National-Team&s=3c84fc5a7a3d606bd5e661f368ed3358,Kaiwen,1
Evolution MX-P on Viscaria?,showthread.php?11746-Evolution-MX-P-on-Viscaria&s=3c84fc5a7a3d606bd5e661f368ed3358,ridderz65,8
Tibhar Evolution MX-P,showthread.php?8685-Tibhar-Evolution-MX-P&s=3c84fc5a7a3d606bd5e661f368ed3358,Maxwell Choi,94
Tibhar's new blade : CCA unlimited,showthread.php?12271-Tibhar-s-new-blade-CCA-unlimited&s=3c84fc5a7a3d606bd5e661f368ed3358,FloKing,12
Looking for Tibhar Nimbus OFF blade,showthread.php?11891-Looking-for-Tibhar-Nimbus-OFF-blade&s=3c84fc5a7a3d606bd5e661f368ed3358,cdpump99,1
Stiga Intensity NCT V.S. Stiga Clipper CR WRB V.S. Stiga Infinity VPS V,showthread.php?10300-Stiga-Intensity-NCT-V-S-Stiga-Clipper-CR-WRB-V-S-Stiga-Infinity-VPS-V&s=3c84fc5a7a3d606bd5e661f368ed3358,Maxwell Choi,6
Genius Sound / Genius+ Optimum Sound,showthread.php?572-Genius-Sound-Genius-Optimum-Sound&s=3c84fc5a7a3d606bd5e661f368ed3358,Ndragon,6
A Tibhar Aurus Sound review for you all,showthread.php?929-A-Tibhar-Aurus-Sound-review-for-you-all&s=3c84fc5a7a3d606bd5e661f368ed3358,olvarox,26
Evolution FX-P,showthread.php?4954-Evolution-FX-P&s=3c84fc5a7a3d606bd5e661f368ed3358,GreigCo,21
What Is a table tennis tensor rubber???,showthread.php?5658-What-Is-a-table-tennis-tensor-rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,Ali Zarei,14
Fx-p?,showthread.php?4813-Fx-p&s=3c84fc5a7a3d606bd5e661f368ed3358,Atwood,1
genious,showthread.php?2880-genious&s=3c84fc5a7a3d606bd5e661f368ed3358,el gato,8
New Tibhar IQ,showthread.php?931-New-Tibhar-IQ&s=3c84fc5a7a3d606bd5e661f368ed3358,olvarox,11
Tibhar Nimbus Sound Review,showthread.php?951-Tibhar-Nimbus-Sound-Review&s=3c84fc5a7a3d606bd5e661f368ed3358,Matt Hetherington,13
Tibhar Genius,showthread.php?221-Tibhar-Genius&s=3c84fc5a7a3d606bd5e661f368ed3358,Bollforte94,6
